A list of languages supported by both Phoible and Argos Translate.
The codes are ISO 639-3 codes; the language names are from Phoible (case-insensitive).
The capitalized languages should be meta-languages.
aar: Afar
afr: Afrikaans
aka: Akan
sqi: Albanian
amh: Amharic
ara: Arabic
arg: Aragonese
hye: Armenian
asm: Assamese
ava: AVAR
ave: NA
aym: Aymara
aze: South Azerbaijani
bam: BAMBARA
bak: BASHKIR
eus: Basque
bel: NA
ben: Bengali
bho: Bhojpuri
bis: NA
bos: NA
bre: Breton
bul: Bulgarian
mya: Burmese
cat: Catalan
cha: Chamorro
che: Chechen
nya: NA
zho: Mandarin Chinese
chv: Chuvash
cor: NA
cos: NA
cre: NA
hrv: Croatian
ces: Czech
dan: Danish
div: Dhivehi
nld: Dutch
dzo: Dzongkha
eng: English
epo: NA
est: Estonian
ewe: Ewe
fao: Faroese
fij: FIJIAN
fin: Finnish
fra: French
ful: NA
glg: Galician
kat: Georgian
deu: German
ell: Modern Greek
grn: NA
guj: Gujarati
hat: NA
hau: Hausa
heb: Modern Hebrew
her: herero
hin: Hindi-Urdu
hmo: NA
hun: Hungarian
ina: NA
ind: Indonesian
ile: NA
gle: Irish Gaelic
ibo: Igbo
ipk: NA
ido: NA
isl: Icelandic
ita: Italian
iku: NA
jpn: Japanese
jav: Javanese
kal: Inuit
kan: Kannada
kau: Kanuri
kas: Kashimiri
kaz: NA
khm: Cambodian
kik: Kikuyu
kin: Kinyarwanda
kir: Kirghiz
kom: Yodzyak Komi
kon: NA
kor: Korean
kur: Kurdish
kua: Kwanyama
lat: NA
ltz: Luxembourgish
lug: Luganda
lim: NA
lin: Lingala
lao: Lao
lit: Lithuanian
lub: NA
lav: Latvian
glv: NA
mkd: Macedonian
mlg: Malagasy
msa: Malay
mal: Malayalam
mlt: Maltese
mri: Maori
mar: Marathi
mah: NA
mon: Mongolian
nau: NA
nav: Navaho
nde: Ndebele
nep: NEPALI
ndo: ndonga
nob: Norwegian
nno: NA
nor: Norwegian
iii: Nuosu
nbl: Ndebele
oci: Occitan
oji: Ojibwa
chu: NA
orm: Oromo, Eastern
ori: Oriya
oss: Ossetian
pan: Punjabi
pli: NA
fas: Persian
pol: Polish
pus: NA
por: Portuguese
que: Bolivian Quechua
roh: Vallader Romansh
run: Rundi
ron: Rumanian
rus: Russian
san: Sanskrit
srd: Campidanese Sardinian
snd: Sindhi
sme: Northern Saami
smo: NA
sag: SANGO
srp: Serbian
gla: Scottish Gaelic
sna: Shona
sin: Sinhalese
slk: Slovak
slv: Slovene
som: Somali
sot: Sesotho
spa: Spanish
sun: Sundanese
swa: Swahili
ssw: NA
swe: Swedish
tam: Tamil
tel: Telugu
tgk: Bukharan Tajik
tha: Thai
tir: Tigrinya
bod: Tibetan
tuk: Turkmen
tgl: Tagalog
tsn: NA
ton: Tongan; Tonga
tur: Turkish
tso: NA
tat: Tatar
twi: NA
tah: NA
uig: Uyghur
ukr: Ukrainian
urd: Urdu
uzb: UZBEK
ven: NA
vie: Vietnamese
vol: NA
wln: NA
cym: Welsh
wol: Wolof
fry: Frisian
xho: Xhosa
yid: Standard Yiddish
yor: YORUBA
zha: NA
zul: Zulu
